variant,low,high,threads,run,time_sec,count,verified
SEGMENTED_ODD,1099511627776,2199023255552,1,1,2829.880093098,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,1,2,2765.978202105,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,1,3,2872.086868048,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,1,4,2715.437551022,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,1,5,2727.607910156,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,2,1,2339.484560966,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,2,2,2314.850050926,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,2,3,2394.183998823,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,2,4,2317.620813847,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,2,5,2478.299284935,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,4,1,837.896746874,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,4,2,824.380378008,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,4,3,836.262201071,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,4,4,833.056900978,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,4,5,837.708243847,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,6,1,792.773292065,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,6,2,821.917513132,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,6,3,829.050662994,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,6,4,831.363712072,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,6,5,858.751939058,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,8,1,723.880763054,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,8,2,734.378977060,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,8,3,741.337965012,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,8,4,756.189522028,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,8,5,714.318446159,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,10,1,746.899830103,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,10,2,753.015815973,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,10,3,708.158883095,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,10,4,763.284996986,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,10,5,713.492941141,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,12,1,795.893183947,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,12,2,797.185013056,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,12,3,744.829180956,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,12,4,773.958734989,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,12,5,735.400223017,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,14,1,1082.887394905,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,14,2,1190.046705961,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,14,3,1211.921783924,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,14,4,1180.584263086,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,14,5,1206.362438917,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,16,1,1194.608350039,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,16,2,1172.662152052,39113482640,1
