variant,N,block,threads,run,time_sec,verified
BMM8,2048,8,14,4,2.216778040,1
BMM8,2048,8,14,5,2.196569920,1
BMM8,2048,8,16,1,1.884854078,1
BMM8,2048,8,16,2,1.880069971,1
BMM8,2048,8,16,3,1.837414980,1
BMM8,2048,8,16,4,1.968186140,1
BMM8,2048,8,16,5,2.007504940,1
BMM16,2048,16,1,1,5.559579134,1
BMM16,2048,16,1,2,5.498509884,1
BMM16,2048,16,1,3,5.603683949,1
BMM16,2048,16,1,4,5.555072069,1
BMM16,2048,16,1,5,5.673696041,1
BMM16,2048,16,2,1,2.924587011,1
BMM16,2048,16,2,2,2.787698984,1
BMM16,2048,16,2,3,2.656306982,1
BMM16,2048,16,2,4,2.537829161,1
BMM16,2048,16,2,5,2.839405775,1
BMM16,2048,16,4,1,1.515354872,1
BMM16,2048,16,4,2,1.388645172,1
BMM16,2048,16,4,3,1.415848017,1
BMM16,2048,16,4,4,1.347112894,1
BMM16,2048,16,4,5,1.539343834,1
BMM16,2048,16,6,1,0.965030909,1
BMM16,2048,16,6,2,0.963446140,1
BMM16,2048,16,6,3,0.996672869,1
BMM16,2048,16,6,4,1.011163950,1
BMM16,2048,16,6,5,0.994647980,1
BMM16,2048,16,8,1,0.772089005,1
BMM16,2048,16,8,2,0.687180996,1
BMM16,2048,16,8,3,0.722881079,1
BMM16,2048,16,8,4,0.651349068,1
BMM16,2048,16,8,5,0.758657932,1
BMM16,2048,16,10,1,1.125939131,1
BMM16,2048,16,10,2,1.056926012,1
BMM16,2048,16,10,3,1.128071070,1
BMM16,2048,16,10,4,1.105275869,1
BMM16,2048,16,10,5,1.065669060,1
BMM16,2048,16,12,1,0.901948929,1
BMM16,2048,16,12,2,0.919852972,1
BMM16,2048,16,12,3,0.951200008,1
BMM16,2048,16,12,4,0.933059931,1
BMM16,2048,16,12,5,1.033962965,1
BMM16,2048,16,14,1,0.864593029,1
BMM16,2048,16,14,2,0.945793867,1
BMM16,2048,16,14,3,0.817072868,1
BMM16,2048,16,14,4,0.865736961,1
BMM16,2048,16,14,5,0.878922939,1
BMM16,2048,16,16,1,0.781352043,1
BMM16,2048,16,16,2,0.773611069,1
BMM16,2048,16,16,3,0.711195230,1
BMM16,2048,16,16,4,0.787926912,1
BMM16,2048,16,16,5,0.782479048,1
BMM32,2048,32,1,1,3.017262936,1
BMM32,2048,32,1,2,2.754449129,1
BMM32,2048,32,1,3,2.742977858,1
BMM32,2048,32,1,4,2.760615110,1
BMM32,2048,32,1,5,2.678683043,1
BMM32,2048,32,2,1,1.314761162,1
BMM32,2048,32,2,2,1.271641016,1
BMM32,2048,32,2,3,1.296108961,1
BMM32,2048,32,2,4,1.445055962,1
BMM32,2048,32,2,5,1.404954910,1
BMM32,2048,32,4,1,0.712193012,1
BMM32,2048,32,4,2,0.708384037,1
BMM32,2048,32,4,3,0.778541088,1
BMM32,2048,32,4,4,0.762524128,1
BMM32,2048,32,4,5,0.683475971,1
BMM32,2048,32,6,1,0.540334940,1
BMM32,2048,32,6,2,0.520874977,1
BMM32,2048,32,6,3,0.491978884,1
BMM32,2048,32,6,4,0.499210119,1
BMM32,2048,32,6,5,0.465093851,1
BMM32,2048,32,8,1,0.451452017,1
BMM32,2048,32,8,2,0.362936974,1
BMM32,2048,32,8,3,0.373488903,1
BMM32,2048,32,8,4,0.336044788,1
BMM32,2048,32,8,5,0.364176989,1
BMM32,2048,32,10,1,0.573988914,1
BMM32,2048,32,10,2,0.600399971,1
BMM32,2048,32,10,3,0.537038088,1
BMM32,2048,32,10,4,0.552959919,1
BMM32,2048,32,10,5,0.532317877,1
BMM32,2048,32,12,1,0.501647949,1
BMM32,2048,32,12,2,0.466486216,1
BMM32,2048,32,12,3,0.464264154,1
BMM32,2048,32,12,4,0.507668972,1
BMM32,2048,32,12,5,0.443146944,1
BMM32,2048,32,14,1,0.376822948,1
BMM32,2048,32,14,2,0.401281118,1
BMM32,2048,32,14,3,0.435404778,1
BMM32,2048,32,14,4,0.383684874,1
BMM32,2048,32,14,5,0.440500975,1
BMM32,2048,32,16,1,0.370032072,1
BMM32,2048,32,16,2,0.383491039,1
BMM32,2048,32,16,3,0.420624971,1
BMM32,2048,32,16,4,0.313061953,1
BMM32,2048,32,16,5,0.408350945,1
BMM64,2048,64,1,1,1.973563910,1
BMM64,2048,64,1,2,2.042340040,1
BMM64,2048,64,1,3,2.085431099,1
BMM64,2048,64,1,4,2.032658100,1
BMM64,2048,64,1,5,1.939922094,1
BMM64,2048,64,2,1,0.937315941,1
BMM64,2048,64,2,2,0.984493971,1
BMM64,2048,64,2,3,1.019104958,1
BMM64,2048,64,2,4,0.978712082,1
BMM64,2048,64,2,5,1.055971861,1
BMM64,2048,64,4,1,0.523686886,1
BMM64,2048,64,4,2,0.522923946,1
BMM64,2048,64,4,3,0.470321894,1
BMM64,2048,64,4,4,0.479935884,1
BMM64,2048,64,4,5,0.532789946,1
BMM64,2048,64,6,1,0.427711964,1
BMM64,2048,64,6,2,0.333079815,1
BMM64,2048,64,6,3,0.361762047,1
BMM64,2048,64,6,4,0.355402946,1
BMM64,2048,64,6,5,0.312005043,1
BMM64,2048,64,8,1,0.306833982,1
BMM64,2048,64,8,2,0.219639063,1
BMM64,2048,64,8,3,0.224932194,1
BMM64,2048,64,8,4,0.263098955,1
BMM64,2048,64,8,5,0.259513855,1
BMM64,2048,64,10,1,0.389073133,1
BMM64,2048,64,10,2,0.400215864,1
BMM64,2048,64,10,3,0.416994095,1
BMM64,2048,64,10,4,0.414527893,1
BMM64,2048,64,10,5,0.416047812,1
BMM64,2048,64,12,1,0.361479998,1
BMM64,2048,64,12,2,0.378347874,1
BMM64,2048,64,12,3,0.360589981,1
BMM64,2048,64,12,4,0.359044075,1
BMM64,2048,64,12,5,0.348124981,1
BMM64,2048,64,14,1,0.330384970,1
BMM64,2048,64,14,2,0.265627146,1
BMM64,2048,64,14,3,0.297734976,1
BMM64,2048,64,14,4,0.319339037,1
BMM64,2048,64,14,5,0.313063860,1
BMM64,2048,64,16,1,0.314608812,1
BMM64,2048,64,16,2,0.284889936,1
BMM64,2048,64,16,3,0.273366928,1
BMM64,2048,64,16,4,0.246026039,1
BMM64,2048,64,16,5,0.278611898,1
OMM,4096,0,1,1,16.428498983,1
OMM,4096,0,1,2,16.482868910,1
OMM,4096,0,1,3,17.696732044,1
OMM,4096,0,1,4,16.784837008,1
OMM,4096,0,1,5,16.452975035,1
OMM,4096,0,2,1,8.892543077,1
OMM,4096,0,2,2,9.005221844,1
OMM,4096,0,2,3,8.684418917,1
OMM,4096,0,2,4,8.673818827,1
OMM,4096,0,2,5,9.189872980,1
OMM,4096,0,4,1,5.042510033,1
OMM,4096,0,4,2,5.099256039,1
OMM,4096,0,4,3,5.384140015,1
OMM,4096,0,4,4,5.364482164,1
OMM,4096,0,4,5,5.509120941,1
OMM,4096,0,6,1,3.404922009,1
OMM,4096,0,6,2,3.679083109,1
OMM,4096,0,6,3,3.470333099,1
OMM,4096,0,6,4,3.689946175,1
OMM,4096,0,6,5,3.147189856,1
OMM,4096,0,8,1,2.793348074,1
OMM,4096,0,8,2,2.672924042,1
OMM,4096,0,8,3,2.509459019,1
