variant,N,threads,avg_sec,speedup,verified
COUNTING_SORT_STREAM,1000000000000,1,1655.487748480,1.000000,1
COUNTING_SORT_STREAM,1000000000000,2,907.636288881,1.823955,1
COUNTING_SORT_STREAM,1000000000000,4,456.374929380,3.627473,1
COUNTING_SORT_STREAM,1000000000000,6,305.269491816,5.423037,1
COUNTING_SORT_STREAM,1000000000000,8,233.254649830,7.097341,1
COUNTING_SORT_STREAM,1000000000000,10,284.737338257,5.814087,1
COUNTING_SORT_STREAM,1000000000000,12,252.994839191,6.543563,1
COUNTING_SORT_STREAM,1000000000000,14,223.322148752,7.413003,1
COUNTING_SORT_STREAM,1000000000000,16,204.718405628,8.086658,1
