variant,low,high,threads,avg_sec,speedup,count,verified
SEGMENTED_ODD,1099511627776,2199023255552,1,2782.198124886,1.000000,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,2,2368.887741899,1.174474,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,4,833.860894156,3.336525,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,6,826.771423864,3.365136,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,8,734.021134663,3.790352,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,10,736.970493460,3.775183,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,12,769.453267193,3.615812,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,14,1174.360517359,2.369118,39113482640,1
SEGMENTED_ODD,1099511627776,2199023255552,16,1183.635251,2.350553,39113482640,1
